unique_instrument_id,windcode,windcode_simp
CZCE|F|PM|2605,PM2605.CZC,PM605.CZC
CZCE|F|PM|2607,PM2607.CZC,PM607.CZC
CZCE|F|PM|2609,PM2609.CZC,PM609.CZC
CZCE|F|PM|2611,PM2611.CZC,PM611.CZC
CZCE|F|PR|2503,PR2503.CZC,PR503.CZC
CZCE|F|PR|2504,PR2504.CZC,PR504.CZC
CZCE|F|PR|2505,PR2505.CZC,PR505.CZC
CZCE|F|PR|2506,PR2506.CZC,PR506.CZC
CZCE|F|PR|2507,PR2507.CZC,PR507.CZC
CZCE|F|PR|2508,PR2508.CZC,PR508.CZC
CZCE|F|PR|2509,PR2509.CZC,PR509.CZC
CZCE|F|PR|2510,PR2510.CZC,PR510.CZC
CZCE|F|PR|2511,PR2511.CZC,PR511.CZC
CZCE|F|PR|2512,PR2512.CZC,PR512.CZC
CZCE|F|PR|2601,PR2601.CZC,PR601.CZC
CZCE|F|PR|2602,PR2602.CZC,PR602.CZC
CZCE|F|PR|2603,PR2603.CZC,PR603.CZC
CZCE|F|PR|2604,PR2604.CZC,PR604.CZC
CZCE|F|PR|2605,PR2605.CZC,PR605.CZC
CZCE|F|PR|2606,PR2606.CZC,PR606.CZC
CZCE|F|PR|2607,PR2607.CZC,PR607.CZC
CZCE|F|PR|2608,PR2608.CZC,PR608.CZC
CZCE|F|PR|2609,PR2609.CZC,PR609.CZC
CZCE|F|PR|2610,PR2610.CZC,PR610.CZC
CZCE|F|PR|2611,PR2611.CZC,PR611.CZC
CZCE|F|PX|2501,PX2501.CZC,PX501.CZC
CZCE|F|PX|2502,PX2502.CZC,PX502.CZC
CZCE|F|PX|2503,PX2503.CZC,PX503.CZC
CZCE|F|PX|2504,PX2504.CZC,PX504.CZC
CZCE|F|PX|2505,PX2505.CZC,PX505.CZC
CZCE|F|PX|2506,PX2506.CZC,PX506.CZC
CZCE|F|PX|2507,PX2507.CZC,PX507.CZC
CZCE|F|PX|2508,PX2508.CZC,PX508.CZC
CZCE|F|PX|2509,PX2509.CZC,PX509.CZC
CZCE|F|PX|2510,PX2510.CZC,PX510.CZC
CZCE|F|PX|2511,PX2511.CZC,PX511.CZC
CZCE|F|PX|2512,PX2512.CZC,PX512.CZC
CZCE|F|PX|2601,PX2601.CZC,PX601.CZC
CZCE|F|PX|2602,PX2602.CZC,PX602.CZC
CZCE|F|PX|2603,PX2603.CZC,PX603.CZC
CZCE|F|PX|2604,PX2604.CZC,PX604.CZC
CZCE|F|PX|2605,PX2605.CZC,PX605.CZC
CZCE|F|PX|2606,PX2606.CZC,PX606.CZC
CZCE|F|PX|2607,PX2607.CZC,PX607.CZC
CZCE|F|PX|2608,PX2608.CZC,PX608.CZC
CZCE|F|PX|2609,PX2609.CZC,PX609.CZC
CZCE|F|PX|2610,PX2610.CZC,PX610.CZC
CZCE|F|PX|2611,PX2611.CZC,PX611.CZC
CZCE|F|RI|2501,RI2501.CZC,RI501.CZC
CZCE|F|RI|2503,RI2503.CZC,RI503.CZC
CZCE|F|RI|2505,RI2505.CZC,RI505.CZC
CZCE|F|RI|2507,RI2507.CZC,RI507.CZC
CZCE|F|RI|2509,RI2509.CZC,RI509.CZC
CZCE|F|RI|2511,RI2511.CZC,RI511.CZC
CZCE|F|RI|2601,RI2601.CZC,RI601.CZC
CZCE|F|RI|2603,RI2603.CZC,RI603.CZC
CZCE|F|RI|2605,RI2605.CZC,RI605.CZC
CZCE|F|RI|2607,RI2607.CZC,RI607.CZC
CZCE|F|RI|2609,RI2609.CZC,RI609.CZC
CZCE|F|RI|2611,RI2611.CZC,RI611.CZC
CZCE|F|RM|2501,RM2501.CZC,RM501.CZC
CZCE|F|RM|2503,RM2503.CZC,RM503.CZC
CZCE|F|RM|2505,RM2505.CZC,RM505.CZC
CZCE|F|RM|2507,RM2507.CZC,RM507.CZC
CZCE|F|RM|2508,RM2508.CZC,RM508.CZC
CZCE|F|RM|2509,RM2509.CZC,RM509.CZC
CZCE|F|RM|2511,RM2511.CZC,RM511.CZC
CZCE|F|RM|2601,RM2601.CZC,RM601.CZC
CZCE|F|RM|2603,RM2603.CZC,RM603.CZC
CZCE|F|RM|2605,RM2605.CZC,RM605.CZC
CZCE|F|RM|2607,RM2607.CZC,RM607.CZC
CZCE|F|RM|2608,RM2608.CZC,RM608.CZC
CZCE|F|RM|2609,RM2609.CZC,RM609.CZC
CZCE|F|RM|2611,RM2611.CZC,RM611.CZC
CZCE|F|RS|2507,RS2507.CZC,RS507.CZC
CZCE|F|RS|2508,RS2508.CZC,RS508.CZC
CZCE|F|RS|2509,RS2509.CZC,RS509.CZC
CZCE|F|RS|2511,RS2511.CZC,RS511.CZC
CZCE|F|RS|2607,RS2607.CZC,RS607.CZC
CZCE|F|RS|2608,RS2608.CZC,RS608.CZC
CZCE|F|RS|2609,RS2609.CZC,RS609.CZC
CZCE|F|RS|2611,RS2611.CZC,RS611.CZC
CZCE|F|SA|2501,SA2501.CZC,SA501.CZC
CZCE|F|SA|2502,SA2502.CZC,SA502.CZC
CZCE|F|SA|2503,SA2503.CZC,SA503.CZC
CZCE|F|SA|2504,SA2504.CZC,SA504.CZC
CZCE|F|SA|2505,SA2505.CZC,SA505.CZC
CZCE|F|SA|2506,SA2506.CZC,SA506.CZC
CZCE|F|SA|2507,SA2507.CZC,SA507.CZC
CZCE|F|SA|2508,SA2508.CZC,SA508.CZC
CZCE|F|SA|2509,SA2509.CZC,SA509.CZC
CZCE|F|SA|2510,SA2510.CZC,SA510.CZC
CZCE|F|SA|2511,SA2511.CZC,SA511.CZC
CZCE|F|SA|2512,SA2512.CZC,SA512.CZC
CZCE|F|SA|2601,SA2601.CZC,SA601.CZC
CZCE|F|SA|2602,SA2602.CZC,SA602.CZC
CZCE|F|SA|2603,SA2603.CZC,SA603.CZC
CZCE|F|SA|2604,SA2604.CZC,SA604.CZC
CZCE|F|SA|2605,SA2605.CZC,SA605.CZC
CZCE|F|SA|2606,SA2606.CZC,SA606.CZC
CZCE|F|SA|2607,SA2607.CZC,SA607.CZC
CZCE|F|SA|2608,SA2608.CZC,SA608.CZC
CZCE|F|SA|2609,SA2609.CZC,SA609.CZC
CZCE|F|SA|2610,SA2610.CZC,SA610.CZC
CZCE|F|SA|2611,SA2611.CZC,SA611.CZC
CZCE|F|SF|2501,SF2501.CZC,SF501.CZC
CZCE|F|SF|2502,SF2502.CZC,SF502.CZC
CZCE|F|SF|2503,SF2503.CZC,SF503.CZC
CZCE|F|SF|2504,SF2504.CZC,SF504.CZC
CZCE|F|SF|2505,SF2505.CZC,SF505.CZC
CZCE|F|SF|2506,SF2506.CZC,SF506.CZC
CZCE|F|SF|2507,SF2507.CZC,SF507.CZC
CZCE|F|SF|2508,SF2508.CZC,SF508.CZC
CZCE|F|SF|2509,SF2509.CZC,SF509.CZC
CZCE|F|SF|2510,SF2510.CZC,SF510.CZC
CZCE|F|SF|2511,SF2511.CZC,SF511.CZC
CZCE|F|SF|2512,SF2512.CZC,SF512.CZC
CZCE|F|SF|2601,SF2601.CZC,SF601.CZC
CZCE|F|SF|2602,SF2602.CZC,SF602.CZC
CZCE|F|SF|2603,SF2603.CZC,SF603.CZC
CZCE|F|SF|2604,SF2604.CZC,SF604.CZC
CZCE|F|SF|2605,SF2605.CZC,SF605.CZC
CZCE|F|SF|2606,SF2606.CZC,SF606.CZC
CZCE|F|SF|2607,SF2607.CZC,SF607.CZC
CZCE|F|SF|2608,SF2608.CZC,SF608.CZC
CZCE|F|SF|2609,SF2609.CZC,SF609.CZC
CZCE|F|SF|2610,SF2610.CZC,SF610.CZC
